Part No.,MODEL,S/N,配件,BIN ID,Status,狀態,借用人,"借用單
編號",出借人,借用日,到期日,入庫日期,備註,"最後
盤點日",Sales Requester,Purpose
T50-3FT-VFVM+,FLEX LL 50GHZ VF/VM 3FT RoHS10,19021327,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KF-24M+,ADPTR 2.92MM-F/2.4MM-M,KF-24M+-01,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KF-24M+,ADPTR 2.92MM-F/2.4MM-M,KF-24M+-02,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KF-24M+,ADPTR 2.92MM-F/2.4MM-M,KF-24M+-03,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KF-24M+,ADPTR 2.92MM-F/2.4MM-M,KF-24M+-04,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-01,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-02,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-03,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-04,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-05,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-06,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-07,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-08,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-09,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-10,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-11,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-12,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-13,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-14,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-15,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
KM-24M+,ADPTR 2.92MM-M/2.4MM-M,KM-24M+-16,,RAE(M8)-Rebecca L,V,4,,,,,,2019/5/22,,2019/5/22,,
24M-24M+,ADPTR 2.4MM-M/2.4MM-M,24M-24M+-01,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24M-24M+,ADPTR 2.4MM-M/2.4MM-M,24M-24M+-02,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24M-24M+,ADPTR 2.4MM-M/2.4MM-M,24M-24M+-03,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24M-24M+,ADPTR 2.4MM-M/2.4MM-M,24M-24M+-04,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
KM-24F+,ADPTR 2.92MM-M/2.4MM-F,KM-24F+-01,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
KM-24F+,ADPTR 2.92MM-M/2.4MM-F,KM-24F+-02,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
KF-24F+,ADPTR 2.92MM-F/2.4MM-F,KF-24F+-01,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
KF-24F+,ADPTR 2.92MM-F/2.4MM-F,KF-24F+-02,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24F-24F+,ADPTR 2.4MM-F/2.4MM-F,24F-24F+-01,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24F-24F+,ADPTR 2.4MM-F/2.4MM-F,24F-24F+-02,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24F-24F+,ADPTR 2.4MM-F/2.4MM-F,24F-24F+-03,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24F-24F+,ADPTR 2.4MM-F/2.4MM-F,24F-24F+-04,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24F-24M+,ADPTR 2.4MM-F/2.4MM-M,24F-24M+-01,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
24F-24M+,ADPTR 2.4MM-F/2.4MM-M,24F-24M+-02,,Bruce,V,4,,,,,,2019/9/20,,2019/9/20,,
VAT-20W2+,20dBm 衰減器,1227-01,,右1,S,4,,,,,,2012/9/19,,2019/8/26,AE Keep,
VAT-20W2+,20dBm 衰減器,1227-02,,右1,S,4,,,,,,2012/9/19,,2019/8/26,AE Keep,
VAT-20W2+,20dBm 衰減器,1227-03,,右1,S,4,,,,,,2012/9/19,,2019/8/26,AE Keep,
VAT-20W2+,20dBm 衰減器,1227-04,,右1,S,4,,,,,,2012/9/19,,2019/8/26,AE Keep,
